channel,raw_channel,trade_date,buy_amount,sell_amount,net_amount,fetched_at
港股通->沪,hk2sh,2025-11-20,0.0,5200000.0,0.0,2025-11-20T20:32:38.431739
沪股通->港,sh2hk,2025-11-20,4200000.0,0.0,4200000.0,2025-11-20T20:32:38.431739
港股通->深,hk2sz,2025-11-20,0.0,5200000.0,0.0,2025-11-20T20:32:38.431739
深股通->港,sz2hk,2025-11-20,4200000.0,0.0,4200000.0,2025-11-20T20:32:38.431739
