price,pct_change,change,volume,turnover,symbol,name,amplitude,net_inflow,fetched_at
43.14,-1.53,-0.67,8700,37747956.55,301501,恒鑫生活,1595101500,-8489164.0,2025-11-20T20:29:01.751268
46.2,-1.53,-0.72,12664,58944051.0,603370,华新精科,1583893958,-10245822.0,2025-11-20T20:29:01.751268
39.5,-1.55,-0.62,16848,67284848.0,603271,永杰新材,1554720000,-4710198.0,2025-11-20T20:29:01.751268
57.98,-1.56,-0.92,9757,56932333.91,301491,汉桑科技,1569316772,-6890801.0,2025-11-20T20:29:01.751268
49.0,-1.65,-0.82,5186,25667458.9,301581,黄山谷捷,980000000,-1563345.0,2025-11-20T20:29:01.751268
26.92,-1.68,-0.46,73756,200272563.04,301656,联合动力,4492455095,-47214219.0,2025-11-20T20:29:01.751268
47.71,-1.69,-0.82,13560,65285648.28,301609,山大电力,1657934141,-17223834.0,2025-11-20T20:29:01.751268
302.5,-1.79,-5.5,36819,1148607722.0,688411,海博思创,11474900085,63792353.0,2025-11-20T20:29:01.751268
24.33,-1.82,-0.45,49300,120972600.0,688729,屹唐股份,4860834546,-26849026.0,2025-11-20T20:29:01.751268
83.8,-1.84,-1.57,4603,38856586.01,301479,弘景光电,1759943801,-5113694.0,2025-11-20T20:29:01.751268
36.64,-2.01,-0.75,14776,54749949.0,603194,中力股份,1885315597,-10729670.0,2025-11-20T20:29:01.751268
168.3,-2.08,-3.58,4671,79239456.28,301590,优优绿能,1374095785,-7803151.0,2025-11-20T20:29:01.751268
13.83,-2.12,-0.3,47255,65852942.9,001356,富岭股份,1731937815,-18077754.0,2025-11-20T20:29:01.751268
29.9,-2.26,-0.69,10006,30179835.29,301601,惠通科技,945079200,-6067974.0,2025-11-20T20:29:01.751268
28.48,-2.3,-0.67,15035,43098842.0,603262,技源集团,1105099330,-10465874.0,2025-11-20T20:29:01.751268
31.91,-2.89,-0.95,21067,67997395.0,603382,海阳科技,1133470643,-12515356.0,2025-11-20T20:29:01.751268
58.22,-3.05,-1.83,238152,1453654674.0,688727,C恒坤,2925157066,-37769537.0,2025-11-20T20:29:01.751268
56.33,-3.13,-1.82,8970,51125840.0,603400,华之杰,1103934160,-7233569.0,2025-11-20T20:29:01.751268
264.34,-3.14,-8.57,14117,376956934.0,688775,影石创新,8062784749,-80705864.0,2025-11-20T20:29:01.751268
23.43,-3.26,-0.79,24300,57722858.66,301602,超研股份,1367232439,-7794953.0,2025-11-20T20:29:01.751268
58.39,-3.82,-2.32,22185,131713188.0,688605,先锋精科,2363393640,-36688017.0,2025-11-20T20:29:01.751268
163.6,-3.84,-6.53,26393,436201425.18,301563,云汉芯城,2282499756,-73889282.0,2025-11-20T20:29:01.751268
30.43,-3.89,-1.23,33595,103731581.18,301658,首航新能,1254845379,-11533969.0,2025-11-20T20:29:01.751268
24.2,-4.23,-1.07,162933,403855374.0,688783,西安奕材-U,3983745581,-70138579.0,2025-11-20T20:29:01.751268
79.75,-4.26,-3.55,21244,172202320.18,301617,博苑股份,2664447500,-21929073.0,2025-11-20T20:29:01.751268
32.34,-4.88,-1.66,128528,417068269.8,301584,建发致新,1630707406,-36734592.0,2025-11-20T20:29:01.751268
119.53,-6.3,-8.04,21404,264279743.76,301557,常友科技,1324392400,-24295193.0,2025-11-20T20:29:01.751268
22.0,-7.91,-1.89,1254875,2843877159.32,301638,C南网数,5169563498,-233365648.0,2025-11-20T20:29:01.751268
